    98	16.305  -98.120  15.5 3.3  ; 2 ;  668112.0 ;  2018/03/04,00:17:26.00 2018/03/11,17:52:38.00 ;  13127000 13207500
    99	16.273  -98.087  12.3 3.5  ; 3 ;  13714299.0 19509567.0 ;  2018/03/03,22:09:12.00 2018/08/09,15:40:51.00 2019/03/23,11:00:18.00 ;  13125900 14435100 16091200
   100	15.845  -98.120  10.2 4.1  ; 2 ;  45966856.0 ;  2018/03/03,14:38:51.00 2019/08/17,15:13:07.00 ;  13122700 17083100
   101	16.700  -99.643  19.6 3.8  ; 2 ;  55690267.0 ;  2018/03/03,10:08:26.00 2019/12/07,23:39:33.00 ;  13121700 17846600
   102	17.285  -96.105  37.6 4.0  ; 2 ;  11438433.0 ;  2018/03/01,06:35:14.00 2018/07/11,15:55:47.00 ;  13088500 14223100
   103	16.255  -98.050   7.0 3.7  ; 2 ;  42316331.0 ;  2018/02/28,20:52:02.00 2019/07/03,15:24:13.00 ;  13083500 16780500
   104	16.285  -98.070   8.0 3.5  ; 2 ;  9985548.0 ;  2018/02/26,04:23:24.00 2018/06/21,18:09:12.00 ;  13035400 14073000
   105	16.215  -98.340   6.5 3.4  ; 2 ;  30171070.0 ;  2018/02/25,21:38:23.00 2019/02/10,02:29:33.00 ;  13031600 15740200
   106	15.956  -98.201  10.5 3.5  ; 2 ;  53369719.0 ;  2018/02/23,02:51:15.00 2019/11/02,19:46:34.00 ;  12972400 17595600
   107	16.300  -98.015  12.7 3.5  ; 2 ;  15381732.0 ;  2018/02/23,01:44:17.00 2018/08/20,02:26:29.00 ;  12971700 14503400
   108	15.965  -98.385  12.8 3.5  ; 2 ;  14130808.0 ;  2018/02/22,12:37:40.00 2018/08/05,01:51:08.00 ;  12961100 14397700
   109	16.325  -98.055  18.5 3.5  ; 2 ;  245236.0 ;  2018/02/21,17:00:04.00 2018/02/24,13:07:20.00 ;  12942400 13000200
   110	16.165  -97.850   5.5 3.3  ; 2 ;  31340795.0 ;  2018/02/20,07:07:44.00 2019/02/18,00:54:19.00 ;  12902200 15803100
   111	16.233  -98.035   6.7 3.4  ; 4 ;  16924322.0 100.0 425.0 ;  2018/02/18,19:07:10.00 2018/09/02,16:19:12.00 2018/09/02,16:20:52.00 2018/09/02,16:27:57.00 ;  12858500 14587800 14587900 14588000
   112	16.340  -97.700  28.0 3.4  ; 2 ;  324124.0 ;  2018/02/18,17:58:22.00 2018/02/22,12:00:26.00 ;  12857400 12960600
   113	15.980  -98.045   7.5 3.6  ; 2 ;  7941.0 ;  2018/02/17,11:44:59.00 2018/02/17,13:57:20.00 ;  12815400 12821700
   114	16.103  -97.753  18.0 3.9  ; 3 ;  3847751.0 15187448.0 ;  2018/02/17,08:03:37.00 2018/04/02,20:52:48.00 2018/09/25,15:36:56.00 ;  12810500 13419600 14728800
   115	16.270  -97.785   5.5 3.1  ; 2 ;  41358.0 ;  2018/02/17,07:06:06.00 2018/02/17,18:35:24.00 ;  12808600 12829800
   116	17.235  -95.980  33.0 3.9  ; 2 ;  113193.0 ;  2018/02/12,11:36:11.00 2018/02/13,19:02:44.00 ;  12759500 12768200
   117	16.253  -98.123   8.0 3.5  ; 2 ;  56741250.0 ;  2018/02/03,07:06:01.00 2019/11/22,00:33:31.00 ;  12687200 17721800
   118	15.965  -97.600  20.0 3.5  ; 2 ;  34065778.0 ;  2018/01/20,01:51:30.00 2019/02/18,08:34:28.00 ;  12574000 15805800
   119	16.010  -97.650  14.0 3.5  ; 2 ;  35678504.0 ;  2018/01/19,06:54:24.00 2019/03/08,05:36:08.00 ;  12565000 15959600
   120	16.285  -98.141  11.8 3.9  ; 2 ;  58744627.0 ;  2018/01/18,10:11:12.00 2019/11/29,08:08:19.00 ;  12559200 17784600
   121	16.080  -98.465   9.0 3.7  ; 2 ;  22346.0 ;  2018/01/17,21:44:38.00 2018/01/18,03:57:04.00 ;  12554900 12556800
